Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
2.2,0.8,10.76,2,62,2022,10,5
6.7,3.24,9.2,21,696,2023,7,12
14.2,13.5,58.2,18,947,2023,3,12
7.540000000000001,4.999999999999999,13.3,4,112,2023,4,29
17.3,5.2,24.1,6,913,2023,6,7
13.080000000000002,5.4,20.1,5,176,2023,5,3
7.92,5.22,8.9,0,306,2023,7,15
2.0,0.5,4.6,22,588,2022,10,18
7.540000000000001,4.999999999999999,13.3,12,1687,2023,8,10
3.7,2.8,26.0,12,1740,2023,2,3
8.57,2.99,5.9,18,1288,2023,5,24
3.3,3.4,18.1,7,1732,2023,2,3
22.8,15.5,54.4,14,1929,2023,1,18
51.8,9.5,55.0,10,1472,2022,11,21
0.0,0.0,4.8,21,619,2022,12,29
5.3,3.0,15.189999999999998,10,1664,2022,10,6
0.0,0.2,18.3,5,188,2023,1,2
10.17,6.58,21.0,16,1779,2023,5,22
0.9,2.5,1.9,2,63,2023,4,3
18.92,7.69,22.9,12,1811,2023,8,21
6.5,6.4,19.8,3,59,2023,1,4
15.75,5.91,14.7,18,1362,2023,4,27
74.7,7.8,31.5,22,623,2022,11,3
2.7,3.2,34.8,17,1321,2023,2,6
1.5,3.7,5.8,1,171,2023,4,8
9.6,3.7,14.82,7,1524,2022,10,14
20.7,8.1,17.6,0,437,2022,10,22
39.0,13.0,39.4,14,1974,2023,6,20
2.19,2.23,0.4,4,86,2023,1,12
9.7,2.6,15.019999999999996,9,614,2022,10,1
13.8,9.6,20.6,9,374,2022,11,20
1.1,3.0,5.6,22,747,2023,3,17
5.1,5.6,15.5,20,829,2023,1,27
38.8,37.5,50.7,19,1137,2022,12,17
7.769999999999999,2.08,14.4,10,1538,2023,8,17
0.8,4.7,2.3,23,403,2023,6,19
3.4,4.3,13.8,17,1054,2023,2,26
3.76,3.0,5.8,16,1750,2023,5,26
6.319999999999999,3.3300000000000005,4.8,23,422,2023,6,22
19.8,1.9,18.3,13,1725,2022,11,24
14.679999999999998,3.72,7.4,16,1155,2023,5,1
5.2,3.9,12.2,3,63,2022,10,27
10.510000000000002,7.58,20.0,22,743,2023,8,12
17.7,16.8,33.0,23,429,2022,12,14
33.3,33.6,68.8,16,1409,2023,2,4
11.9,13.1,26.3,22,645,2023,2,1
0.0,0.0,2.8,1,425,2022,11,12
1.2,2.6,2.3,9,295,2023,1,15
12.21,4.15,14.9,15,1980,2023,8,2
3.9,0.6,12.54,14,1463,2022,10,1
8.3,4.0,11.4,5,162,2023,4,18
9.0,9.4,6.1,19,766,2022,12,31
1.7,1.6,6.3,0,245,2022,12,25
6.7,3.24,9.2,6,200,2023,7,1
29.9,16.3,35.6,10,1591,2023,6,14
5.6,4.1,30.3,9,1652,2023,2,28
5.5600000000000005,3.11,18.3,12,1878,2023,4,28
2.25,1.39,3.0,19,916,2023,8,19
16.6,6.4,8.3,23,143,2023,9,6
2.3,0.9,9.2,6,199,2023,4,1
10.8,11.1,48.2,17,1441,2023,3,9
9.470000000000002,3.25,22.2,15,2351,2023,5,23
3.6,3.5,54.9,9,1362,2023,1,3
5.2700000000000005,3.64,3.6,6,174,2023,7,15
3.7,0.9,11.4,13,1386,2023,1,28
7.5,4.3,10.0,20,921,2023,6,29
13.7,8.0,16.5,6,834,2023,6,27
41.2,3.5,8.0,0,224,2023,6,9
